"","region","innkvarteringstype","bustadland","statistikkvariabel","Aar","overnattinger"
"1","Lofoten","Hotell og liknande overnattingsbedrifter","I alt","Overnattingar","2016",455801
"2","Lofoten","Hotell og liknande overnattingsbedrifter","I alt","Overnattingar","2017",495829
"3","Lofoten","Hotell og liknande overnattingsbedrifter","I alt","Overnattingar","2018",519268
"4","Lofoten","Hotell og liknande overnattingsbedrifter","I alt","Overnattingar","2019",557143
"5","Lofoten","Hotell og liknande overnattingsbedrifter","I alt","Overnattingar","2020",347797
"6","Lofoten","Hotell og liknande overnattingsbedrifter","I alt","Overnattingar","2021",393432
"7","Lofoten","Hotell og liknande overnattingsbedrifter","I alt","Overnattingar","2022",538075
"8","Lofoten","Campingplassar, hyttegrender og vandrarheim","I alt","Overnattingar","2016",455801
"9","Lofoten","Campingplassar, hyttegrender og vandrarheim","I alt","Overnattingar","2017",495829
"10","Lofoten","Campingplassar, hyttegrender og vandrarheim","I alt","Overnattingar","2018",519268
"11","Lofoten","Campingplassar, hyttegrender og vandrarheim","I alt","Overnattingar","2019",557143
"12","Lofoten","Campingplassar, hyttegrender og vandrarheim","I alt","Overnattingar","2020",347797
"13","Lofoten","Campingplassar, hyttegrender og vandrarheim","I alt","Overnattingar","2021",393432
"14","Lofoten","Campingplassar, hyttegrender og vandrarheim","I alt","Overnattingar","2022",538075
"15","Tromsø","Hotell og liknande overnattingsbedrifter","I alt","Overnattingar","2016",878268
"16","Tromsø","Hotell og liknande overnattingsbedrifter","I alt","Overnattingar","2017",902112
"17","Tromsø","Hotell og liknande overnattingsbedrifter","I alt","Overnattingar","2018",946239
"18","Tromsø","Hotell og liknande overnattingsbedrifter","I alt","Overnattingar","2019",988158
"19","Tromsø","Hotell og liknande overnattingsbedrifter","I alt","Overnattingar","2020",482257
"20","Tromsø","Hotell og liknande overnattingsbedrifter","I alt","Overnattingar","2021",535526
"21","Tromsø","Hotell og liknande overnattingsbedrifter","I alt","Overnattingar","2022",964606
"22","Tromsø","Campingplassar, hyttegrender og vandrarheim","I alt","Overnattingar","2016",878268
"23","Tromsø","Campingplassar, hyttegrender og vandrarheim","I alt","Overnattingar","2017",902112
"24","Tromsø","Campingplassar, hyttegrender og vandrarheim","I alt","Overnattingar","2018",946239
"25","Tromsø","Campingplassar, hyttegrender og vandrarheim","I alt","Overnattingar","2019",988158
"26","Tromsø","Campingplassar, hyttegrender og vandrarheim","I alt","Overnattingar","2020",482257
"27","Tromsø","Campingplassar, hyttegrender og vandrarheim","I alt","Overnattingar","2021",535526
"28","Tromsø","Campingplassar, hyttegrender og vandrarheim","I alt","Overnattingar","2022",964606
"29","Sør-Troms/Senja-region","Hotell og liknande overnattingsbedrifter","I alt","Overnattingar","2016",355568
"30","Sør-Troms/Senja-region","Hotell og liknande overnattingsbedrifter","I alt","Overnattingar","2017",334278
"31","Sør-Troms/Senja-region","Hotell og liknande overnattingsbedrifter","I alt","Overnattingar","2018",304272
"32","Sør-Troms/Senja-region","Hotell og liknande overnattingsbedrifter","I alt","Overnattingar","2019",335577
"33","Sør-Troms/Senja-region","Hotell og liknande overnattingsbedrifter","I alt","Overnattingar","2020",189529
"34","Sør-Troms/Senja-region","Hotell og liknande overnattingsbedrifter","I alt","Overnattingar","2021",295140
"35","Sør-Troms/Senja-region","Hotell og liknande overnattingsbedrifter","I alt","Overnattingar","2022",421824
"36","Sør-Troms/Senja-region","Campingplassar, hyttegrender og vandrarheim","I alt","Overnattingar","2016",355568
"37","Sør-Troms/Senja-region","Campingplassar, hyttegrender og vandrarheim","I alt","Overnattingar","2017",334278
"38","Sør-Troms/Senja-region","Campingplassar, hyttegrender og vandrarheim","I alt","Overnattingar","2018",304272
"39","Sør-Troms/Senja-region","Campingplassar, hyttegrender og vandrarheim","I alt","Overnattingar","2019",335577
"40","Sør-Troms/Senja-region","Campingplassar, hyttegrender og vandrarheim","I alt","Overnattingar","2020",189529
"41","Sør-Troms/Senja-region","Campingplassar, hyttegrender og vandrarheim","I alt","Overnattingar","2021",295140
"42","Sør-Troms/Senja-region","Campingplassar, hyttegrender og vandrarheim","I alt","Overnattingar","2022",421824
"43","Nord-Troms-region","Hotell og liknande overnattingsbedrifter","I alt","Overnattingar","2016",142964
"44","Nord-Troms-region","Hotell og liknande overnattingsbedrifter","I alt","Overnattingar","2017",149270
"45","Nord-Troms-region","Hotell og liknande overnattingsbedrifter","I alt","Overnattingar","2018",142380
"46","Nord-Troms-region","Hotell og liknande overnattingsbedrifter","I alt","Overnattingar","2019",160186
"47","Nord-Troms-region","Hotell og liknande overnattingsbedrifter","I alt","Overnattingar","2020",92365
"48","Nord-Troms-region","Hotell og liknande overnattingsbedrifter","I alt","Overnattingar","2021",160030
"49","Nord-Troms-region","Hotell og liknande overnattingsbedrifter","I alt","Overnattingar","2022",189288
"50","Nord-Troms-region","Campingplassar, hyttegrender og vandrarheim","I alt","Overnattingar","2016",142964
"51","Nord-Troms-region","Campingplassar, hyttegrender og vandrarheim","I alt","Overnattingar","2017",149270
"52","Nord-Troms-region","Campingplassar, hyttegrender og vandrarheim","I alt","Overnattingar","2018",142380
"53","Nord-Troms-region","Campingplassar, hyttegrender og vandrarheim","I alt","Overnattingar","2019",160186
"54","Nord-Troms-region","Campingplassar, hyttegrender og vandrarheim","I alt","Overnattingar","2020",92365
"55","Nord-Troms-region","Campingplassar, hyttegrender og vandrarheim","I alt","Overnattingar","2021",160030
"56","Nord-Troms-region","Campingplassar, hyttegrender og vandrarheim","I alt","Overnattingar","2022",189288
