Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;Dato;Felt;Trafikkmengde;Dekningsgrad (%);Antall timer total;Antall timer inkludert;Antall timer ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;>= 16,0m;16,0m - 24,0m;>= 24,0m
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2023-01-01T00:00+01:00;2023-01-02T00:00+01:00;01.01.2023;1;4645;100;24;24;0;2;99,96;4467;176;53;39;82;2;2;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2023-01-01T00:00+01:00;2023-01-02T00:00+01:00;01.01.2023;2;4474;100;24;24;0;0;100;4300;174;51;40;82;1;1;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2023-01-01T00:00+01:00;2023-01-02T00:00+01:00;01.01.2023;Totalt i retning Kvaløya;4649;100;24;24;0;1;99,98;4472;176;53;39;82;2;2;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2023-01-01T00:00+01:00;2023-01-02T00:00+01:00;01.01.2023;Totalt i retning Tromsø;4470;100;24;24;0;1;99,98;4295;174;51;40;82;1;1;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2023-01-01T00:00+01:00;2023-01-02T00:00+01:00;01.01.2023;Totalt;9119;100;24;24;0;2;99,98;8767;350;104;79;164;3;3;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2023-01-02T00:00+01:00;2023-01-03T00:00+01:00;02.01.2023;1;7438;100;24;24;0;1;99,99;7029;408;98;102;194;14;14;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2023-01-02T00:00+01:00;2023-01-03T00:00+01:00;02.01.2023;2;7614;100;24;24;0;0;100;7186;428;115;107;194;12;12;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2023-01-02T00:00+01:00;2023-01-03T00:00+01:00;02.01.2023;Totalt i retning Kvaløya;7462;100;24;24;0;1;99,99;7052;409;99;102;194;14;14;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2023-01-02T00:00+01:00;2023-01-03T00:00+01:00;02.01.2023;Totalt i retning Tromsø;7590;100;24;24;0;0;100;7163;427;114;107;194;12;12;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2023-01-02T00:00+01:00;2023-01-03T00:00+01:00;02.01.2023;Totalt;15052;100;24;24;0;1;99,99;14215;836;213;209;388;26;26;0
