"","Trafikkregistreringspunkt","Navn","Vegreferanse","Fra","Til","År","Måned","Trafikkmengde","Konfidensintervall.start","Konfidensintervall.slutt","Dekningsgrad....","Antall.døgn.total","Antall.døgn.inkludert","Antall.døgn.ugyldig","Ikke.gyldig.lengde","Lengdekvalitetsgrad....","Felt","X..5.6m","X...5.6m","X5.6m...7.6m","X7.6m...12.5m","X12.5m...16.0m","X...16.0m","X16.0m...24.0m","X...24.0m"
"1","02636V1125920","Sandnessundbrua","FV862 S2D1 m609","2022-01-01T00:00+01:00","2022-02-01T00:00+01:00",2022,1,7069,6522,7616,"100",31,31,0,1,"100","1",6693,375,98,101,168,8,8,0
"2","02636V1125920","Sandnessundbrua","FV862 S2D1 m609","2022-01-01T00:00+01:00","2022-02-01T00:00+01:00",2022,1,7073,6553,7593,"100",31,31,0,1,"100","2",6690,382,99,106,169,8,8,0
"3","02636V1125920","Sandnessundbrua","FV862 S2D1 m609","2022-01-01T00:00+01:00","2022-02-01T00:00+01:00",2022,1,7072,6552,7592,"100",31,31,0,0,"100","Totalt i retning Tromsø",6689,382,99,106,169,8,8,0
"4","02636V1125920","Sandnessundbrua","FV862 S2D1 m609","2022-01-01T00:00+01:00","2022-02-01T00:00+01:00",2022,1,7070,6523,7617,"100",31,31,0,1,"100","Totalt i retning Kvaløya",6694,375,98,101,168,8,8,0
"5","02636V1125920","Sandnessundbrua","FV862 S2D1 m609","2022-01-01T00:00+01:00","2022-02-01T00:00+01:00",2022,1,14142,13076,15208,"100",31,31,0,2,"100","Totalt",13383,757,197,207,337,16,16,0
"6","02636V1125920","Sandnessundbrua","FV862 S2D1 m609","2022-02-01T00:00+01:00","2022-03-01T00:00+01:00",2022,2,7857,7350,8364,"100",28,28,0,1,"100","1",7456,401,102,106,178,14,14,0
"7","02636V1125920","Sandnessundbrua","FV862 S2D1 m609","2022-02-01T00:00+01:00","2022-03-01T00:00+01:00",2022,2,7853,7368,8338,"100",28,28,0,5,"99,9","2",7427,421,108,118,180,15,15,0
"8","02636V1125920","Sandnessundbrua","FV862 S2D1 m609","2022-02-01T00:00+01:00","2022-03-01T00:00+01:00",2022,2,7853,7368,8338,"100",28,28,0,5,"99,9","Totalt i retning Tromsø",7427,421,108,117,180,15,15,0
"9","02636V1125920","Sandnessundbrua","FV862 S2D1 m609","2022-02-01T00:00+01:00","2022-03-01T00:00+01:00",2022,2,7857,7350,8364,"100",28,28,0,1,"100","Totalt i retning Kvaløya",7455,401,102,106,178,14,14,0
"10","02636V1125920","Sandnessundbrua","FV862 S2D1 m609","2022-02-01T00:00+01:00","2022-03-01T00:00+01:00",2022,2,15710,14720,16700,"100",28,28,0,6,"100","Totalt",14883,822,211,223,358,29,29,0
