Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;Dato;Felt;Trafikkmengde;Dekningsgrad (%);Antall timer total;Antall timer inkludert;Antall timer ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;>= 16,0m;16,0m - 24,0m;>= 24,0m
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2023-01-05T00:00+01:00;2023-01-06T00:00+01:00;2023-01-05;1;1468;100,0;24;24;0;17;98,84;1001;450;86;47;254;63;62;1
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2023-01-05T00:00+01:00;2023-01-06T00:00+01:00;2023-01-05;2;1652;100,0;24;24;0;12;99,27;1185;455;41;42;307;65;62;3
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2023-01-05T00:00+01:00;2023-01-06T00:00+01:00;2023-01-05;Totalt i retning Planetariet;1467;100,0;24;24;0;17;98,84;1001;449;86;46;254;63;62;1
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2023-01-05T00:00+01:00;2023-01-06T00:00+01:00;2023-01-05;Totalt i retning UNN;1653;100,0;24;24;0;12;99,27;1185;456;41;43;307;65;62;3
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2023-01-05T00:00+01:00;2023-01-06T00:00+01:00;2023-01-05;Totalt;3120;100,0;24;24;0;29;99,07;2186;905;127;89;561;128;124;4
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2023-01-06T00:00+01:00;2023-01-07T00:00+01:00;2023-01-06;1;1414;100,0;24;24;0;15;98,94;977;422;70;29;246;77;75;2
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2023-01-06T00:00+01:00;2023-01-07T00:00+01:00;2023-01-06;2;1548;100,0;24;24;0;10;99,35;1092;446;38;38;291;79;74;5
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2023-01-06T00:00+01:00;2023-01-07T00:00+01:00;2023-01-06;Totalt i retning Planetariet;1414;100,0;24;24;0;15;98,94;977;422;70;29;246;77;75;2
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2023-01-06T00:00+01:00;2023-01-07T00:00+01:00;2023-01-06;Totalt i retning UNN;1548;100,0;24;24;0;10;99,35;1092;446;38;38;291;79;74;5
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2023-01-06T00:00+01:00;2023-01-07T00:00+01:00;2023-01-06;Totalt;2962;100,0;24;24;0;25;99,16;2069;868;108;67;537;156;149;7
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2023-01-07T00:00+01:00;2023-01-08T00:00+01:00;2023-01-07;1;565;100,0;24;24;0;0;100,00;369;196;20;6;136;34;34;0
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2023-01-07T00:00+01:00;2023-01-08T00:00+01:00;2023-01-07;2;573;100,0;24;24;0;5;99,13;373;195;16;8;137;34;33;1
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2023-01-07T00:00+01:00;2023-01-08T00:00+01:00;2023-01-07;Totalt i retning Planetariet;565;100,0;24;24;0;0;100,00;369;196;20;6;136;34;34;0
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2023-01-07T00:00+01:00;2023-01-08T00:00+01:00;2023-01-07;Totalt i retning UNN;573;100,0;24;24;0;5;99,13;373;195;16;8;137;34;33;1
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2023-01-07T00:00+01:00;2023-01-08T00:00+01:00;2023-01-07;Totalt;1138;100,0;24;24;0;5;99,56;742;391;36;14;273;68;67;1
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2023-01-08T00:00+01:00;2023-01-09T00:00+01:00;2023-01-08;1;500;100,0;24;24;0;1;99,80;356;143;19;4;94;26;25;1
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2023-01-08T00:00+01:00;2023-01-09T00:00+01:00;2023-01-08;2;530;100,0;24;24;0;0;100,00;395;135;14;8;98;15;15;0
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2023-01-08T00:00+01:00;2023-01-09T00:00+01:00;2023-01-08;Totalt i retning Planetariet;500;100,0;24;24;0;1;99,80;356;143;19;4;94;26;25;1
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2023-01-08T00:00+01:00;2023-01-09T00:00+01:00;2023-01-08;Totalt i retning UNN;530;100,0;24;24;0;0;100,00;395;135;14;8;98;15;15;0
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2023-01-08T00:00+01:00;2023-01-09T00:00+01:00;2023-01-08;Totalt;1030;100,0;24;24;0;1;99,90;751;278;33;12;192;41;40;1
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2023-01-09T00:00+01:00;2023-01-10T00:00+01:00;2023-01-09;1;1642;100,0;24;24;0;16;99,03;1167;459;60;68;245;86;83;3
